text,label,,,
"""Ipinakita mo ang iyong kakayahan sa pamamahala ng oras sa iyong trabaho."" (You showed your time management skills in your work.)",1,,,
"""Ang iyong trabaho ay nagbigay ng mga ideya para sa aming kagalingan."" (Your work gave us ideas for our improvement.)",1,,,
"""Nakakatulong ang iyong mga puna."" (Your critiques are helpful.)",1,,,
"""Gusto kong marinig ang iyong pananaw."" (I want to hear your perspective.)",1,,,
"""Nakakatulong ang iyong mga komento."" (Your comments are helpful.)",1,,,
"""Nakakatulong ang iyong mga rekomendasyon."" (Your recommendations are helpful.)",1,,,
"""Natutunan ko sa iyong mga puna."" (I learned from your critiques.)",1,,,
"""Gusto kong mas maraming ganyang feedback sa hinaharap."" (I would like more of this kind of feedback in the future.)",1,,,
"""Nakakatulong ang iyong mga ideya."" (Your ideas are helpful.)",1,,,
"""Nakakatulong ang iyong mga suhestyon."" (Your suggestions are helpful.)",1,,,
"""Nakakatulong ang iyong mga puna sa aming pagpapabuti."" (Your critiques are helpful in our improvement.)",1,,,
"""Nakakatulong ang iyong mga komento sa aming pagpapabuti."" (Your comments are helpful in our improvement.)",1,,,
"""Nakakatulong ang iyong mga rekomendasyon sa aming pagpapabuti."" (Your recommendations are helpful in our improvement.)",1,,,
"""Nakakatulong ang iyong mga ideya sa aming pagpapabuti."" (Your ideas are helpful in our improvement.)",1,,,
"""Nakakatulong ang iyong mga suhestyon sa aming pagpapabuti."" (Your suggestions are helpful in our improvement.)",1,,,
"""Mabuti na nakatanggap ako ng ganyang feedback."" (I'm glad I received that feedback.)",1,,,
"""Salamat sa iyong mga puna."" (Thank you for your critiques.)",1,,,
"""Salamat sa iyong mga komento."" (Thank you for your comments.)",1,,,
"""Salamat sa iyong mga rekomendasyon."" (Thank you for your recommendations.)",1,,,
"""Salamat sa iyong mga ideya."" (Thank you for your ideas.)",1,,,
"""Salamat sa iyong mga suhestyon."" (Thank you for your suggestions.)",1,,,
"Maraming salamat sa iyong mabuting trabaho."" (Thank you very much for your good work.)",1,,,
"""Napakahusay ng iyong trabaho."" (Your work is excellent.)",1,,,
"""Natutuwa ako sa resulta ng iyong trabaho."" (I am pleased with the result of your work.)",1,,,
"""Natutunan ko maraming bagay sa iyong trabaho."" (I learned a lot from your work.)",1,,,
"""Napakaganda ng iyong trabaho."" (Your work is beautiful.)",1,,,
"""Napakagaling ng iyong trabaho."" (Your work is very skilled.)",1,,,
"""Natutuwa ako sa iyong trabaho."" (I am happy with your work.)",1,,,
"""Napakaganda ng iyong gawa."" (Your work is beautiful.)",1,,,
"""Napakagaling ng iyong gawa."" (Your work is very skilled.)",1,,,
"""Natutuwa ako sa iyong gawa."" (I am happy with your work.)",1,,,
"""Natutunan ko maraming bagay sa iyong gawa."" (I learned a lot from your work.)",1,,,
"""Napakahusay ng iyong gawa."" (Your work is excellent.)",1,,,
"""Natutuwa ako sa resulta ng iyong gawa."" (I am pleased with the result of your work.)",1,,,
"""Nagugustuhan ko ang iyong trabaho."" (I like your work.)",1,,,
"""Nagugustuhan ko ang iyong gawa."" (I like your work.)",1,,,
"""Nakakatugon sa aming mga pamantayan ang iyong trabaho."" (Your work meets our standards.)",1,,,
"""Nakakatugon sa aming mga pamantayan ang iyong gawa."" (Your work meets our standards.)",1,,,
"""Nagpapasalamat ako sa iyong trabaho."" (I am grateful for your work.)",1,,,
"""Nagpapasalamat ako sa iyong gawa."" (I am grateful for your work.)",1,,,
"""Napakamahusay ng iyong trabaho."" (Your work is very good.)",1,,,
"""Napakamahusay ng iyong gawa."" (Your work is very good.)",1,,,
"Hindi ako nasisiyahan sa iyong trabaho."" (I am not satisfied with your work.)",0,,,
"""Hindi ito sapat para sa aming pangangailangan."" (This is not sufficient for our needs.)",0,,,
"""May mga problema sa iyong trabaho."" (There are problems with your work.)",0,,,
"""Hindi naging sapat ang iyong pagsisikap."" (Your effort was not sufficient.)",0,,,
"""May mga kailangan pa kaming ayusin sa iyong trabaho."" (There are still things we need to fix in your work.)",0,,,
"""Hindi ito tumugma sa aming mga pamantayan."" (This does not meet our standards.)",0,,,
"""Hindi ako nasisiyahan sa resulta ng iyong trabaho."" (I am not satisfied with the result of your work.)",0,,,
"""May mga kailangan pang ayusin sa iyong trabaho."" (There are still things that need to be fixed in your work.)",0,,,
"""Hindi ito sapat para sa aming mga pangangailangan."" (This is not sufficient for our needs.)",0,,,
"May mga kailangan pang ayusin sa iyong trabaho."" (There are still things that need to be fixed in your work.)",0,,,
"""Hindi ito sapat para sa aming mga pangangailangan."" (This is not sufficient for our needs.)",0,,,
"""Hindi ako nasisiyahan sa resulta ng iyong trabaho."" (I am not satisfied with the result of your work.)",0,,,
"""May mga problema sa iyong trabaho."" (There are problems with your work.)",0,,,
"""Hindi naging sapat ang iyong pagsisikap."" (Your effort was not sufficient.)",0,,,
"""Hindi ito tumugma sa aming mga pamantayan."" (This does not meet our standards.)",0,,,
"""Hindi ako nasisiyahan sa iyong trabaho."" (I am not satisfied with your work.)",0,,,
"""May mga kailangan pa kaming ayusin sa iyong trabaho."" (There are still things we need to fix in your work.)",0,,,
"""Hindi ito sapat para sa aming pangangailangan."" (This is not sufficient for our needs.)",0,,,
"""Hindi ako nasisiyahan sa resulta ng iyong gawa."" (I am not satisfied with the result of your work.)",0,,,
"""May mga problema sa iyong gawa."" (There are problems with your work.)",0,,,
"""Hindi naging sapat ang iyong pagsisikap."" (Your effort was not sufficient.)",0,,,
"""Hindi ito tumugma sa aming mga pamantayan."" (This does not meet our standards.)",0,,,
"""Hindi ako nasisiyahan sa iyong gawa."" (I am not satisfied with your work.)",0,,,
"""May mga kailangan pa kaming ayusin sa iyong gawa."" (There are still things we need to fix in your work.)",0,,,
"""Hindi ito sapat para sa aming pangangailangan."" (This is not sufficient for our needs.)",0,,,
"May mga bagay na kailangan pang ayusin sa iyong trabaho."" (There are still things that need to be fixed in your work.)",0,,,
"""Hindi naging sapat ang iyong pagsisikap sa trabaho."" (Your effort was not sufficient in your work.)",0,,,
"""May mga problema sa iyong trabaho na kailangan pa nating ayusin."" (There are problems with your work that still need to be fixed.)",0,,,
"""Hindi ito tumugma sa aming mga pamantayan sa trabaho."" (This does not meet our work standards.)",0,,,
"""Hindi ako nasisiyahan sa resulta ng iyong trabaho."" (I am not satisfied with the result of your work.)",0,,,
"""Hindi ako nasisiyahan sa iyong trabaho."" (I am not satisfied with your work.)",0,,,
"""May mga bagay pa na kailangan nating ayusin sa iyong trabaho."" (There are still things we need to fix in your work.)",0,,,
"""Hindi ito sapat para sa aming mga pangangailangan sa trabaho."" (This is not sufficient for our work needs.)",0,,,
"""May mga bagay na kailangan pang ayusin sa iyong gawa."" (There are still things that need to be fixed in your work.)",0,,,
"""Hindi naging sapat ang iyong pagsisikap sa gawa."" (Your effort was not sufficient in your work.)",0,,,
"""May mga problema sa iyong gawa na kailangan pa nating ayusin."" (There are problems with your work that still need to be fixed.)",0,,,
"""Hindi ito tumugma sa aming mga pamantayan sa gawa."" (This does not meet our work standards.)",0,,,
"""Hindi ako nasisiyahan sa resulta ng iyong gawa."" (I am not satisfied with the result of your work.)",0,,,
"""Hindi ako nasisiyahan sa iyong gawa."" (I am not satisfied with your work.)",0,,,
"""May mga bagay pa na kailangan nating ayusin sa iyong gawa."" (There are still things we need to fix in your work.)",0,,,
"""Hindi ito sapat para sa aming mga pangangailangan sa gawa."" (This is not sufficient for our work needs.)",0,,,
" ""Hindi mo ginawa ng tama ang trabaho mo."" (You did not do your job correctly.)",0,,,
" ""Hindi mo sinunod ang mga patakaran."" (You did not follow the rules.)",0,,,
" ""Hindi mo binigyang pansin ang mga detalye."" (You did not pay attention to the details.)",0,,,
" ""Hindi mo nagawa ang tungkulin mo sa oras."" (You did not complete your task on time.)",0,,,
" ""Nakakapagod ka magtrabaho."" (You are tiresome to work with.)",0,,,
" ""Hindi ka maaasahan."" (You are unreliable.)",0,,,
"""Hindi mo nasusunod ang mga deadline."" (You do not meet deadlines.)",0,,,
" ""Hindi mo pinapahalagahan ang oras ng ibang tao."" (You do not value other people's time.)",0,,,
"""Hindi mo pinapakita ang sapat na respeto sa ibang tao."" (You do not show enough respect to others.)",0,,,
" ""Hindi mo pinapakita ang sapat na paggalang sa ibang tao."" (You do not show enough regard for others.)",0,,,
ang panget mo,0,,,
tangina mo jepoy Dizon,0,,,
ang panget ng iyong proyekto,0,,,
mukhang gago yung gumawa neto,0,,,
ginagago lang kami ni boss,0,,,
"Ok na ok tong product..nagamit q na agad fast shipping,kind rider.d q nga lang naavail ung freeshipping dapat pala dinagdagan q pa order maganda pala try q lng sana at nagustuhan q sobra will order again thank you shoppee d mo na nmn aq binigo God bless sa shop nato",1,,,
"im happy sa order  , delivery faster than expexted, planning to order again",1,,,
"Thanks receive ko agad napaka ganda po ng quality salamat seller maganda din pagkakabalot nya secured at naka bubble wrap sya😊",1,,,
super like! received the item in good condition no damage well packed and complete. one of the best budol very useful definitely will order again thanks seller 🤗🫰🏻,1,,,
Ok yung item sa price nya sakto din yung color na nadeliver. Ok naman packaging nakabalot sa karton at walang yupi. All in all sulit buy.,1,,,
"Ang bilis dumating. Okay naman ung item, matibay tibay din po. Thank you Seller 😊",1,,,
"Nabalot ng maayos,mabilis ang shipment at maganda ang product makapal din ung bakal nya mukha naman matibay maganda sya,,i like it,order ako ulit next time,thank u seller at kay kuya nagdiliver😊😊😊order sana ako 2 kaso mahal nman na dagdag shipping fee😥",1,,,
Super love ko ang item. Gustong gusto ko talaga Salamat seller. 1st time kong omorder sa knila and sobrang nasatisfied ako. More power and God bless,1,,,
"Always thought the space under shelves are unutilized. With this under shelf/table storage basket, not anymore. Sturdy material and would do enough for its purpose. Thank you, seller and Kuya delivery rider.",1,,,
"Malaki sya and very mukhang kayang-kaya kahit mabigay na bagay. Very useful sa office namin. Thanks, seller!",1,,,
"I love the item I ordered. It is well-packaged and is very useful. Overall, thank you to the seller; and to kuya rider for the kindness and fast delivery.",1,,,
Thank you for packaging everything securedly. Walang damage ang items. This is smaller than the one I bought from onther store but it seems durable naman though thinner din ssya. Useful sya sa needing ng extra storage space,1,,,
"Honestly this is a must-have item for working students like me who are WFH. As you can see madaming pwedeng ilagay and it saves a LOOOOT, as in A LOOOT of space. I received the item in very good condition naka carton pa talaga siya so far wala din dents and everything was in order :)",1,,,
Very aesthetic kita mo agad na maayos yun product na dumating sayo pagsilip pa lang sa parcel. Looks sturdy to hold naman plates and light kitchen utensils. Suitable for small spaces na walang paglagyang ng drain after washing or simply your dry towels if wla laman,1,,,
Mabilis naship ang product and protected with karton ang bubble wrap. May freebie pa na phone stand. Thank youu po 💓 💓,1,,,
"Order 4.4 ; received 4.5 fast delivery good job Kay seller. Good quality, walang sira or scratches like sa other review na nabasa ko. All goods kaya rate ko agad",1,,,
"Ang gandaaa! Ang tibay nya and it really serves it purpose. Ang bilis pa dumating, 2 days lang from the day I ordered and nandito na sya. Thanks seller! Highly recommended!",1,,,
Ok naman maganda siya sana mag tagal mukha naman matibay malaki siya aa expected ko. Kala ko maliot lang 2 notebookels pahaba kaya,1,,,
"dumating yung items four days after ko siyang orderin, may freebie din which is di ko inexpect befor ko siya chineck out, thank you po seller!",1,,,
Good and sturdy product. Fits Short to A4 size paper. It is very cheap for its price.,1,,,
"Super late review,,,pero maganda ung product although ang tagal niyang dumating siguro mga 45 years emz pero di ko lang alam saan ko ilalagay pero thankyouu seller and rider!",1,,,
"The product is good talaga, kahit anong color siguro ng wall ay babagay yung product. Thank you seller and to the delivery courier!",1,,,
Items are all complete and in good condition. Prices are reasonable. 35 inches ako I should have taken 1 or 2 sizes smaller. Bath ball is fluffy and good quality. Mesh pencil is good. Yung clamp hindi ko pa nagagamit pero Sana makapit,1,,,
"salamat seler at sa shope sa mabilis na pag deliver, napakabilis ng action, guds ang item at napakasolid.",1,,,
"Ganda kahit manipis lang tela bagay na bagay sa ilalim ng lababo ganda ng kulay napili ko thank you seller bilis pa dumting",1,,,
saktong sakto lang ang haba ng curtain sa lababo namin,1,,,
"mabilis naship and nadeliver maganda ang tela sakto lang para sa lababo mabilis matuyo pag nabasa, walang damages ang item",1,,,
Hehe ok siya tinahi ko nalang yung isa para di sumayad sa baba para di mabasa pero standard size siya for sa sink tlga ..black inorder qu para di dumihin hehe thanks seller Godbless!,1,,,
"ast transaction. Well packaged. Terno sa kitchen. Ok nmn ung quality for the price is right 
Preparation for xmas is totaly ready dahil ke shoppee just take time to see views and reviews para ma check nyo yung mga shop na legit❤",1,,,
Salamat seller ang ganda ng item n naorder ko salmt at tma ung kulay n dumating salmt po. Kay kua rider n mabilis naidelever ung order wla sira sa tela nya at makinins salmt sa mabilis na pagshipout seller salmt po order ulit ako 😘😁🥰🥰🥰☺️☺️☺️,1,,,
Maganda ang pagkakagawa,1,,,
"Ok naman itong item na to, para sa shower curtain. Bibili ulit ako para sa room ng bahay namin. I just try it lang muna, para makita ko ang length nya. Thanks seller pati sa delivery rider. God bless...",1,,,
"I like it..hopefully kaya curtain rod ang curtain ng matagal. Thank seller, shopee and rider. God Bless to all of you!",1,,,
"Fast shipping and delivery. Goods nrn for it's prize. Hindi lang sya pang wide window for small lang sya pero okay na rin dahil cheap lang naman.. Sturdy naman, pang curtains tlga yung keri nyang weight, pwedeng sabitan sa cabinet but not for heavy thing bka kasi mahulog dn.",1,,,
Nakita namin sa ate ko ito kaya napabili din kami. Maganda siya iwas na sa gagapangin ng ipis.. Bilis din sinend ni seller..,1,,,
"ang sosyal tingnn nito mga sis, muka xang png yayamanin hehe love it kla q maliit lng nsi pla pde ksma sandok s loob",1,,,
Ang ganda ganda niya sa personal😍🥰 i will surely buy again. Tsaka napakasafe ng pagkakabalot ng item. Kaya verygood na verygood talaga.🫰🫰🫰,1,,,
"Gustong gusto ko to kasi naorganized ko na yung mga spoon and fork namin pati mga sandok na gakit namin sa kanin. Dati kasi halu-halo sa isang usual na lagayan, may partition lang pero sabog sabog pa rin kaya medyo nakakastress. Dito, naorganized mula sa mga laki nila at dikit dikit kaya maganda na",1,,,
"Pictures are not related, ndi ko na napicturan salamat seller,salamat din kay kiya rider na nag deliver",1,,,
"Nice item pwd na pglagyan ng mga spoon at pork safe pa dahil hnd madumihan sulit nagustuhan ko sobra ganda talaga highly recommended",1,,,
"Ang perfect nito, shala tingnan. Kasya lahat utensils ko Thank you",1,,,
"This is my 3rd time ordering in this shop, I guess? But yea. Products are safe. Super safe kita naman sa vid diba? Hirap pa nga ako mag open e. But kidding aside seller made sure that the products will arrive safely and it did. Thank you so much seller. Until next purchase. Recommended shop. ☺️🖤🖤",1,,,
Makapal na plastic sya. Well packaged at walang cracks. mukhang matibay. Might break soon if not taken cared well. Will buy again with different items nman. Okay itong shop na ito. Well recommended...,1,,,
Organized & neat tignan. Walang damaged. Gusto ko din yung color. First time here sa store nila. Sakto sa sukat ng mga spoons & forks,1,,,
"Maganda sya, may konting dent lang (you can see on photo) but its it's okay kasi hnd naman malaki at hindi halata. Matagal nga lang yung pagsend ng item. Packed well, daming bubble wrap knowing na talagang safe yung item. Thank you seller.",1,,,
"Wooow ang ganda ang saya pag bukas mo ma received mo ung order mo walang damage kc ang bait ni seller balot na balot ung tlg kita sa video maraming salamat seller desurv u po ang 10 star , guys dito na kayo omurder sobrang sulit, nong una nag alangan ako kc may nabasa ako sa reviews pero tinry ko pa din dito at di ako binigo ni seller, maraming salamt tlg order ako ulit😍😍",1,,,
Nagulat kami na malaki pala siya. Akala namin maliit lang. Super happy with this buy kasi safe na sa ipis o alikabok and other germs yung mga kutsara at tinidor pati serving spoons at sandok.,1,,,
At ayun na nga nakahanap din Ako Ng lagayan Ng kutsara na sakto sa kitchen drawer ko. Medyo masikip pero Keri na din Po. Salamat Po more benta and godbless.,1,,,
Thank you so much ang bilis po nadeliver. Very secure kaya po dumating siyang safe ang ganda din ng quality niya makapal kaya sulit ang bayad. I will order again soon.,1,,,
Spacious yung lagayan na to akala ko pang utensils lang talaga sya pwede pa pala mag lagay ng mga tasang maliit. Thanks seller.,1,,,
"Super satisfied po sa item mura siya compare sa ibang sellers, natanggap ko ng wlaang sira mabilis din dumating maayos ang pagkakapack secured naman para indi magka damage..",1,,,
Sobrang love ko toooo!!! Grabe sobra ko po nagustuhan yung item. Thank you seller!🥰🥰🥰 Matagal ko na to gusto icheck out antay ko lang kasi free shipping haha,1,,,
"Ang ganda ng lagayan ng utensils ko!
Bilis pa ng delivery.
Buy na rin kayo 👍
Thank you, Seller, Shopee, and Courier Service.",1,,,
"Medyo late pag ratings nabusy nlimutan ko na Ganda nya lagyan at walang damage. iwill order again! Thanks seller and sa rider",1,,,
Goods lahat. Complete orders walang kulang wala ring damage. Salamat po anbilis rin nag delivery then secured n secured apaka kapal ng bubble wrap hehe,1,,,
"Exactly what I needed. Ginamit ko sya to organize my spoon and fork and other small baking tools. I will buy more.",1,,,
Thank you so much seller super safe Ang mga orders ko kaya no damage at all 🥰😊 legit shop 👍☺️ thanks also shopee and kay kua delivery rider 😊👍👍👍👍👍,1,,,
"Maraming salamat po maayos na dumating lahat ng order ko complete po,thank you sa delivery man nag care sa mga parcel ko sabay dumating secured po lahat.",1,,,
"Spacious..marami ka malalagay. Took a while to deliver but received good naman. Maybe it's the courier prob. Not sure din mukang di agad naipack... satisfied still with the product. Bought 2 pero mukang okay na ung isa lang.
",1,,,
"Napakaganda in actual. Contrary to what I have read, it looks sturdy naman. It is also big enough to handle your spoons and forks even if they are long since mahaba din naman tong lagayan.",1,,,
"Maganda naman ang item worth the price
Ang tagal ng delivery nonetheless so far so good
More sales to come
Thank you seller",1,,,
"Ganda ng color. Very nice organizer. No damage at all upon delivery, neatly and securely packed. Super love the items.",1,,,
Well wrapped and shipped. Kompleto ang items at walang damages. Thank you!,1,,,
noon ko pa ko naghahanap ng lagayan ng spoon 🥄 n fork 🍴 ko. ayos na ayos ito.,1,,,
Ganda ng quality nya😍 i love it. thank you seller and rider❤️,1,,,
"Amazing,,,ang ganda ng item salamat shoppe,dear seller at kuya Rider sna 2 n inorder ko 🥰,order n lng Ulet ako nextime,",1,,,
"Okay nmn yung product yung color more on nasa pink color sya than light brown.. Pero okay narin.. Maganda sya malaki space.  Tagal lng dumating",1,,,
"napakaganda at solid, i will order again soon, will recommend this to my friends and family for sure. thank you seller",1,,,
"This is a great find ❤️ Maganda and mukhang matibay kasi makapal yung acrylic niya. Sakto lang din yung size for utensils.
",1,,,
Ang ganda ng product na Ito. Mura pa bilis din magship.complete and high quality niya. No damage. Will order soon. Thank you,1,,,
"Maganda po sya at mukang matibay. Malaki rin, kasya pati sandok ng kanin. Very satisfied with this purchase.",1,,,
"Sulit ang bayad, malaki na sya at mukhang matibay , marami ang mailalagay.. Salmat kay seller maayos at wlang sira .....",1,,,
"Super cute niya. Ang ganda. Ang bait pa ng rider. Thank you po seller 🤗🤗",1,,,
"Mas mura shop na ito maayos ng dumating walamg damage thank you",1,,,
"wow.. sulit ang binayad ko. secured at walang damage ang item kase makapal ang bubble wrap.. malaki din sya kasya pati pansandok ng kanin. maganda din ang kulay.. thank you po seller..",1,,,
"Sinuot ko pang pasko♥️ Maroon is life kami with My wife and son. Sakto ang tela hindi makapal hindi manipis, hindi lang sya dark color maroon.",1,,,
Ang bilis na ship ni seller and salamat shopee super ganda nya guys promise tapos mura pa. San ka pa? Hehe galing ng shop na toh 2 beses nako naka order sa kanila thankyou👏🏻,1,,,
Super ganda ng tela for its price po Thankyou seller ang bilis nya shinip and thankyou sa shopee❤️ 10 ⭐️ nagustuhan ni husband salamat shopee.,1,,,
Maganda yung tela. Ang tagal lang ng shipping talaga. Pang xchange gift sana toh. Kaso hindi umabot kaya ayun. Napabili nlang aqu sa mall. Mejo malaki sizing niya. Kaya kung bet mu ung mejo fitted xau. Kung large qa ok na sa medium. ,1,,,
. I already got Qmy order.. well packed naman and no damage. I also got exactly kung anu ang inorder/purchase ko. Thank you to a seller.. will order again soon!,1,,,
i ordered again kasi nagustuhan nila quality. mura lang kasi and hindi mukhang fake kaya keri na. will order again if marami pa magpabili,1,,,
"Maganda yung quality ng tela nya,  di cya gaano manipis sakto lang,  pero yung maroon parang maliit cya wala nman nakalagay na XL kaya cgurado maliit, ibigay q na lang sa anak ko d kc kasya sa asawa ko,  but satisfied nman thanks seller",1,,,
Minimalist yung design. Nagustuhan nung niregaluhan ko. Parang kailangan lang ng sando para di masyadong makita ang loob pero sulit sa price nya 👌🏻,1,,,
"Ang ganda. I'm very satisfied. Pati ung packaging, it looks professional. Very Comfortable and good for casual outfit. Makapal din ung tela. Mabilis lang din dumating sa akin. Di po ata umabot ng 1 week.",1,,,
Maganda ang tela sakto lang naman yung nipis niya. Sana magustuhan nung pagbibigyan ko smooth transaction,1,,,
"High recommended tong item na to, bait la ng seller. Mura pa. pwedeng umulit ng order sa shop nila, hindi kayo ipapahiya dahil sa ganda 🖤thb yan",1,,,
Good quality. Will order again pag ka tapos Ng pasko. Yung polkadots Naman para sa bagong taon. Salamat seller at sa mabait na rider. Saludo Po kami sa inyo,1,,,
Thank u seller at kay kuya rider.. Ambilis mg ship ni seller nakakatuwa sinabi ko kc na nid na.. Ang ganda ng quality ng polo panalo sa presyo niya.. Sa uulitin poh,1,,,
"Maayos ang pagkakapack at complete orders ang nareceive ko. Thank you seller, affordable mga products. Ganda ng tela, okay din ang fitting.",1,,,
"Legit saktong sakto lang sakin at maganda tela nya. Salamat sa seller!",1,,,
"Maganda ang quality. Nainggit asawa ko. Haha binili ko for papa, tapos bet nya din daw. So ill definitely order again. Ty shopee and ty seller",1,,,
"Fast delivery po and the quality looks good. Maayos naman po ang packing. Thank you to seller— I will recommend.",1,,,
Napakaganda ng quality solid highly recommend yung item and shop! Kahit natagalan gawa ng newyear at holidays ay satisfied parin ako. Thankyou seller and rider! I surely buy again.,1,,,
Super gandaaaaaaaaa. May pa price tag pa.✨ Thank you! Will order again,1,,,
bili na kayo guys sobrang ganda talaga pramis walang trip,1,,,
"Ok naman yung quality nya, kaso diko lang sure kung red ba or maroon yung color na dumating haha",1,,,
"ang ganda ng tela tas nung logo, wag na kayo umorder ayoko ng may kamuka",1,,,
"Goods maganda Yung products Di kayu magsisi medyo may kaliitan Yung sizing Kung large kayu gawin nyunna XL",1,,,
very acurate size are true to size and definitely recommemded no wonder almost everythings sold out very imppressive bravo,1,,,
Maganda sya matagal ngalang i deliver pero sulit👍🏻,1,,,
"i love the product so much, it's worth it for it's price na and new na new talaga, sealed din sya and mabilis ang pag ship and also pag deliever, thankyou so much:))",1,,,
Gustong gusto Ng hubby ko Ang design nakakapogi daw at saktong sakto Ang dating nya at Ang Ganda Ng tela nakakamayaman✌️😘,1,,,
"Wala akong reklamo sa texture at kung gaano sya kanipis buttttt,,, tastas yung kwelyo nya. Di naman ako nag-eexpect na bonggang bongga yung polo since mura compared sa original price and di naman sa mall binili kaso yun lang, sa kwelyo pa talaga tas kitang kitaa, panregalo sana to kaso ayon nga :(((",0,,,
"EKIS NA SHOP NA ITO
SCAMM!!!!",0,,,
Don't expect good quality masasaktan ka Lang huhuhu,0,,,
"Luma ang pinadala nyong damit. 
Nagbayad naman ako ng maayos, sana bago shinip chine-check maigi yung item. 
Madumi yung Light Blue.
kupas naman ang kulay ng Navy Blue.",0,,,
"Hindi satisfied navy blue ang inorder dumating black. Ano yun!",0,,,
"wrong size & color pinadala haha napakalayo sa inorder tapos yung white lining sa collar nag sstain pa ng color doon. nag ask din ako ng return & refund pumayag naman siya pero walang nangyari dahil walang rider nag pipick-up samin then nag chat ako sakanya ang nag seek for help about it pero no response. tapos rude pa sumagot yung seller lol. 😛 sayang pera ditooo!
",0,,,
Medjo manipis pero goods na pwede na pang porma!,0,,,
"Kahit ba nmn mura produkto nyo sna ay di nmn tutuklapin, mhinang klase. Depektibo. Sayang nwala un gnda ng produkto. Thank u n rin
",0,,,
Hindi nasunod yung color na gusto ko dapat DARK GRAY pero MAROON yung pinadala ni seller di rin siya nag inform at nag message saken bago ipadala mainit din tela ng short,0,,,
Mali ang kulay na pinadala sa inadvertised ni seller. Kayo na po humusga.,0,,,
nakaka disappoint nag order ako ulit kc ok Naman sa una ito pangalawa .. order ko hnd complete 😢 pangtinda kopa Naman Yan waladin tuboko,0,,,
SAYANG PERA DITO HINDI NMAN COTTON MGA TINDA NYA MAINIT ANG TELA......HUWAG NA KAYO MAGBALAK BUMILI DITO SAYANG LANG,0,,,
"Mali mali yung mga kulay, dyus ko, shiniship kahit walang stock sa order mo, basta2 nalang eshi ship agad, pera2 lng ang shop nato, sa serbisyu walang paki. Fuchaa😓Thanks seller, sakto lahat po, ng sizes at colorsThanks seller, sakto lahat po, ng sizes at colorsThanks seller, sakto lahat po, ng siz",0,,,
Hindi na pareho yung item na inorder ko una at yung ngayon nagbago na itsura at yung tela manipis na at sobrang laki na sa legs pangit na downgrade 😔 not fit.,0,,,
"y nmn po iba ung kulay ng order ko. .nakaka dismaya.. tapos ung tatak na fila ng babak bak na agad 🙁",0,,,
Dalawang shorts and 1 jogger pants pero ang dumating 3 shorts d man lang na double check bago e ship.. sayang pang regalo ko pa naman,0,,,
Anu bayan my botas yung isa palpak yung deliver nyo.minsan lng ko mag order shoppee sablay pa.not recommended zero star sana.,0,,,
"oki na sana lahat eh kasu tong seller nato d nag doble cheak mali2 kulay binigay 

doble cheak nyu nmn kahit kasi maganda ung binebenta nyu eh kung mali ung kulay d parin ma sasatisfied cx 😔😔😔",0,,,
Mali yong size at kulay Ang lalaki para sa asawa ko. Ako Ang bumili ako Ang pumili dapat Ang Ang musunod hindi ikaw seller..,0,,,
Fail butas ang bulsa. Why? Hindi nyo ba check kung okay to deliver ang item nyo???!!!,0,,,
